(.venv) jacksoncamp@Jacksons-MacBook-Pro mod4-jacksoncamp42 % python3 project/run_mnist_multiclass.py
Epoch 2 loss 1.1947078365384554 valid acc 15/16
Epoch 2 loss 2.1046717241478174 valid acc 14/16
Epoch 2 loss 1.1159959184892823 valid acc 15/16
Epoch 2 loss 1.5427614097116198 valid acc 12/16
Epoch 2 loss 0.9671793422076042 valid acc 13/16
Epoch 2 loss 1.1517293295791204 valid acc 11/16
Epoch 2 loss 1.2620406097670227 valid acc 9/16
Epoch 2 loss 1.7389777402856885 valid acc 12/16
Epoch 2 loss 1.345482022447155 valid acc 14/16
Epoch 2 loss 1.2927028060941512 valid acc 12/16
Epoch 2 loss 0.6404894257237851 valid acc 14/16
Epoch 2 loss 2.352049267459611 valid acc 15/16
Epoch 3 loss 0.0718872394879995 valid acc 13/16
Epoch 3 loss 1.441234363769434 valid acc 14/16
Epoch 3 loss 1.8926257422063357 valid acc 14/16
Epoch 3 loss 1.1508068704567473 valid acc 14/16
Epoch 3 loss 0.7414765012613137 valid acc 14/16
Epoch 3 loss 1.031719633730452 valid acc 14/16
Epoch 3 loss 1.239618123637541 valid acc 14/16
Epoch 3 loss 1.8233566170611955 valid acc 13/16
Epoch 3 loss 1.8408447788556646 valid acc 14/16
Epoch 3 loss 1.2009759037694678 valid acc 12/16
Epoch 3 loss 1.3613484830047986 valid acc 12/16
Epoch 3 loss 2.156904940038436 valid acc 11/16
Epoch 3 loss 1.7829840732386448 valid acc 14/16
Epoch 3 loss 1.7517133741556745 valid acc 14/16
Epoch 3 loss 2.3739215703850456 valid acc 11/16
Epoch 3 loss 0.9342117312153575 valid acc 12/16
Epoch 3 loss 1.8493813067582727 valid acc 11/16
Epoch 3 loss 1.6481489353207464 valid acc 12/16
Epoch 3 loss 1.7407277528345086 valid acc 14/16
Epoch 3 loss 1.7657696641504181 valid acc 13/16
Epoch 3 loss 1.3541091247289152 valid acc 9/16
Epoch 3 loss 1.8761674899327347 valid acc 12/16
Epoch 3 loss 0.39845413145720593 valid acc 15/16
Epoch 3 loss 1.0650680606852705 valid acc 14/16
Epoch 3 loss 0.6318222381179979 valid acc 15/16
Epoch 3 loss 1.2212612974873256 valid acc 12/16
Epoch 3 loss 0.882681787479399 valid acc 11/16
Epoch 3 loss 1.0322610706338 valid acc 12/16
Epoch 3 loss 0.7021524492748668 valid acc 11/16
Epoch 3 loss 0.3370124332564691 valid acc 13/16
Epoch 3 loss 1.3360172117238465 valid acc 14/16
Epoch 3 loss 1.5467536418520893 valid acc 12/16
Epoch 3 loss 0.48527019349394274 valid acc 11/16
Epoch 3 loss 0.8935022139950041 valid acc 12/16
Epoch 3 loss 2.752275942641334 valid acc 14/16
Epoch 3 loss 1.602393015733344 valid acc 11/16
Epoch 3 loss 0.9259688780214801 valid acc 14/16
Epoch 3 loss 1.0266406349162733 valid acc 11/16
Epoch 3 loss 1.2440081995870895 valid acc 14/16
Epoch 3 loss 0.945365321164498 valid acc 13/16
Epoch 3 loss 0.5103414322885312 valid acc 14/16
Epoch 3 loss 1.1153466005710475 valid acc 13/16
Epoch 3 loss 0.9131528072800881 valid acc 13/16
Epoch 3 loss 0.8344103071633635 valid acc 11/16
Epoch 3 loss 0.6825273987985194 valid acc 13/16
Epoch 3 loss 0.4614412673221863 valid acc 14/16
Epoch 3 loss 1.0897146754717992 valid acc 15/16
Epoch 3 loss 1.566628861735125 valid acc 16/16
Epoch 3 loss 0.8760626611179694 valid acc 12/16
Epoch 3 loss 0.3785828119393718 valid acc 13/16
Epoch 3 loss 0.9231618317922335 valid acc 13/16
Epoch 3 loss 0.8531831477825933 valid acc 14/16
Epoch 3 loss 1.7254009944230433 valid acc 12/16
Epoch 3 loss 0.5859405295628045 valid acc 15/16
Epoch 3 loss 1.1641426808580841 valid acc 13/16
Epoch 3 loss 0.77261754455995 valid acc 12/16
Epoch 3 loss 0.8292884699793893 valid acc 13/16
Epoch 3 loss 1.144955321227667 valid acc 15/16
Epoch 3 loss 1.4762852601170349 valid acc 12/16
Epoch 3 loss 1.2648523181804523 valid acc 13/16
Epoch 3 loss 0.6189447120498333 valid acc 12/16
Epoch 3 loss 0.6998311864231854 valid acc 13/16
Epoch 3 loss 1.9198909644407287 valid acc 10/16
Epoch 4 loss 0.019273069786316238 valid acc 14/16
Epoch 4 loss 1.0638842898264906 valid acc 11/16
Epoch 4 loss 1.461461375084794 valid acc 13/16
Epoch 4 loss 0.8694974076140147 valid acc 12/16
Epoch 4 loss 0.3929234733272923 valid acc 15/16
Epoch 4 loss 0.839165174892426 valid acc 14/16
Epoch 4 loss 0.973825151062004 valid acc 14/16
Epoch 4 loss 1.2863738071481905 valid acc 13/16
Epoch 4 loss 1.5626983846765063 valid acc 13/16
Epoch 4 loss 0.5062849826540423 valid acc 14/16
Epoch 4 loss 1.054593737147399 valid acc 13/16
Epoch 4 loss 1.8617753018899432 valid acc 13/16
Epoch 4 loss 1.3535893276839224 valid acc 14/16
Epoch 4 loss 1.19407073764877 valid acc 12/16
Epoch 4 loss 1.735629110763384 valid acc 12/16
Epoch 4 loss 0.6671869552314247 valid acc 11/16
Epoch 4 loss 1.0078573879076942 valid acc 13/16
Epoch 4 loss 1.6070386635646183 valid acc 12/16
Epoch 4 loss 1.3558159871547557 valid acc 14/16
